                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5436,                 4.5526,                 1.3296,                0.00456,                0.20098,                0.00277,                0.00107,                 2.1712,                 3.9688,                 1.1136,                 0.0883,                 0.0013,                 0.0013
                      1,                 2.1653,                 3.3483,                 1.1825,                  0.014,                0.61765,                0.03263,                0.01253,                 1.8709,                 3.4757,                 1.0261,               0.075673,              0.0026733,              0.0026733
                      2,                 2.1445,                 2.2249,                 1.1289,                0.01578,                0.69608,                0.05415,                0.02218,                 1.8465,                 3.4142,                 1.0483,               0.063019,              0.0040188,              0.0040188
                      3,                 2.0695,                 1.9132,                 1.1183,                0.01856,                0.81863,                0.41603,                0.16628,                 1.9715,                 3.1435,                 1.0727,               0.050337,              0.0053367,              0.0053367
                      4,                 2.1741,                 1.9022,                 1.1546,                0.01967,                0.86765,                0.50149,                0.19508,                  1.973,                 2.8746,                 1.0478,               0.037627,              0.0066268,              0.0066268
                      5,                  2.242,                 1.9083,                 1.1651,                0.02765,                0.69118,                0.44913,                0.20596,                 1.9681,                 2.7336,                 1.0848,               0.024889,              0.0078891,              0.0078891
                      6,                 2.1287,                 2.0806,                 1.1113,                0.72223,                 0.5098,                0.60875,                0.22191,                 2.0971,                 1.8029,                  1.169,               0.012124,              0.0091238,              0.0091238
                      7,                 2.1182,                 1.8914,                 1.1013,                0.59716,                0.34804,                0.44951,                0.15505,                 2.3714,                  2.027,                 1.3103,               0.009307,               0.009307,               0.009307
                      8,                 2.1452,                 1.7447,                 1.1202,                0.71217,                0.43663,                0.56942,                0.22731,                 2.0649,                 1.9242,                 1.1454,               0.009307,               0.009307,               0.009307
                      9,                 2.1293,                 1.7901,                 1.0842,                0.58229,                 0.4902,                0.48011,                0.15082,                  2.292,                 1.8762,                 1.2122,               0.009208,               0.009208,               0.009208
                     10,                 2.0014,                 1.6818,                  1.063,                0.60164,                0.58824,                0.60056,                0.22835,                 2.1259,                 1.3784,                 1.1665,               0.009109,               0.009109,               0.009109
                     11,                 2.0843,                 1.6027,                 1.0902,                0.61942,                0.66667,                0.62168,                0.26202,                 1.9566,                 1.4321,                 1.0894,                0.00901,                0.00901,                0.00901
                     12,                 2.0883,                 1.5745,                 1.0829,                0.59265,                0.56341,                0.56866,                0.24713,                 1.9278,                 1.4302,                 1.0736,               0.008911,               0.008911,               0.008911
                     13,                 2.0031,                 1.6742,                 1.0588,                0.56526,                0.59314,                0.50159,                0.17185,                 2.0069,                 1.7146,                 1.0797,               0.008812,               0.008812,               0.008812
                     14,                 1.9533,                 1.5336,                 1.0545,                0.66233,                0.59314,                0.61395,                0.22993,                 2.0276,                 1.6959,                 1.1046,               0.008713,               0.008713,               0.008713
                     15,                 2.0191,                 1.5281,                 1.0721,                0.70089,                0.57353,                0.62238,                0.25298,                 1.9418,                  1.371,                 1.0642,               0.008614,               0.008614,               0.008614
                     16,                 1.9813,                 1.4628,                  1.041,                0.45294,                0.48529,                0.41823,                0.12187,                    2.4,                  1.805,                 1.1991,               0.008515,               0.008515,               0.008515
                     17,                 1.9457,                 1.5461,                 1.0473,                0.62819,                0.53005,                0.53684,                0.19073,                 2.1565,                 1.5305,                 1.1231,               0.008416,               0.008416,               0.008416
                     18,                 2.0012,                 1.4333,                 1.0684,                0.61179,                0.55882,                 0.5762,                 0.2413,                 2.0353,                 1.5236,                 1.0865,               0.008317,               0.008317,               0.008317
                     19,                 1.8841,                 1.4576,                 1.0355,                0.69868,                0.56373,                0.64482,                0.27592,                 1.9076,                 1.3174,                 1.0692,               0.008218,               0.008218,               0.008218
                     20,                  1.936,                  1.414,                 1.0487,                0.69407,                0.53922,                0.58408,                0.21552,                 2.1237,                 1.4301,                 1.1246,               0.008119,               0.008119,               0.008119
                     21,                  1.966,                 1.4075,                 1.0402,                  0.679,                0.61275,                 0.6271,                0.25733,                 1.9581,                  1.393,                 1.1056,                0.00802,                0.00802,                0.00802
                     22,                 1.9691,                 1.4474,                 1.0508,                0.67279,                0.52412,                0.56549,                0.20387,                 2.1865,                 1.4447,                 1.1474,               0.007921,               0.007921,               0.007921
